givz_id,splc_id,title,city,state,group,ideology,headquarters,statewide,year,black_listed_flag 
,1,Abiding Truth Ministries,Springfield,Massachusetts,,Anti-LGBT,Yes,,2018,Y
,2,Alliance Defending Freedom,Scottsdale,Arizona,Alliance Defending Freedom,Anti-LGBT,Yes,,2018,Y
,3,American College of Pediatricians,Gainesville,Florida,American College of Pediatricians,Anti-LGBT,Yes,,2018,Y
,4,American Family Association,Tupelo,Mississippi,American Family Association,Anti-LGBT,Yes,,2018,Y
,5,American Family Association,Franklin,Pennsylvania,American Family Association,Anti-LGBT,,,2018,Y
,6,American Vision,Powder Springs,Georgia,,Anti-LGBT,Yes,,2018,Y
,7,Americans for Truth About Homosexuality,Naperville,Illinois,,Anti-LGBT,Yes,,2018,Y
,8,ATLAH World Missionary Church (All The Land Anointed Holy),New York,New York,,Anti-LGBT,Yes,,2018,Y
,9,Bible Believers Fellowship,Worthington,Ohio,,Anti-LGBT,Yes,,2018,Y
,10,"Campus Ministry USA, The",Terre Haute,Indiana,,Anti-LGBT,Yes,,2018,Y
,11,Center for Family and Human Rights (C-FAM),Washington,District of Columbia,,Anti-LGBT,,,2018,Y
,12,Center for Family and Human Rights (C-FAM),New York,New York,,Anti-LGBT,Yes,,2018,Y
,13,Chalcedon Foundation,Vallecito,California,,Anti-LGBT,Yes,,2018,Y
,14,Church Militant/St. Michael's Media,Ferndale,Michigan,,Anti-LGBT,Yes,,2018,Y
,15,Concerned Christian Citizens,Temple,Texas,,Anti-LGBT,Yes,,2018,Y
,16,Conservative Republicans of Texas,Houston,Texas,,Anti-LGBT,Yes,,2018,Y
,17,D. James Kennedy Ministries,Fort Lauderdale,Florida,,Anti-LGBT,Yes,,2018,Y
,18,Faith2Action,North Royalton,Ohio,,Anti-LGBT,Yes,,2018,Y
,19,Faithful Word Baptist Church,Tempe,Arizona,,Anti-LGBT,Yes,,2018,Y
,20,Family Research Council,Washington,District of Columbia,Family Research Council,Anti-LGBT,Yes,,2018,Y
,21,Family Research Institute,Colorado Springs,Colorado,,Anti-LGBT,Yes,,2018,Y
,22,Family Watch International,Gilbert,Arizona,Family Watch International,Anti-LGBT,Yes,,2018,Y
,23,Generations,Elizabeth,Colorado,,Anti-LGBT,Yes,,2018,Y
,24,Heterosexuals Organized for a Moral Environment (H.O.M.E.),Downers Grove,Illinois,,Anti-LGBT,Yes,,2018,Y
,25,Illinois Family Institute,Carol Stream,Illinois,,Anti-LGBT,Yes,,2018,Y
,26,Liberty Counsel,Orlando,Florida,Liberty Counsel,Anti-LGBT,Yes,,2018,Y
,27,Mass Resistance,Torrance,California,,Anti-LGBT,,,2018,Y
,28,Mass Resistance,Denver,Colorado,,Anti-LGBT,,,2018,Y
,29,Mass Resistance,Waltham,Massachusetts,,Anti-LGBT,Yes,,2018,Y
,30,Mass Resistance,Ft. Worth,Texas,,Anti-LGBT,,,2018,Y
,31,Mission: America,Columbus,Ohio,,Anti-LGBT,Yes,,2018,Y
,32,Pacific Justice Institute,Sacramento,California,Pacific Justice Institute,Anti-LGBT,Yes,,2018,Y
,33,Pass the Salt Ministries,Hebron,Ohio,,Anti-LGBT,Yes,,2018,Y
,34,Pilgrims Covenant Church,Monroe,Wisconsin,,Anti-LGBT,Yes,,2018,Y
,35,"Pray in Jesus Name Project, The",Colorado Springs,Colorado,,Anti-LGBT,Yes,,2018,Y
,36,Probe Ministries,Plano,Texas,,Anti-LGBT,Yes,,2018,Y
,37,Public Advocate of the United States,Merrifield,Virginia,,Anti-LGBT,Yes,,2018,Y
,38,Ruth Institute,Lake Charles,Louisiana,Ruth Institute,Anti-LGBT,Yes,,2018,Y
,39,Save California,Sacramento,California,,Anti-LGBT,Yes,,2018,Y
,40,Stedfast Baptist Church,Jacksonville,Florida,,Anti-LGBT,,,2018,Y
,41,Stedfast Baptist Church,Fort Worth,Texas,,Anti-LGBT,Yes,,2018,Y
,42,Sure Foundation Baptist Church,Vancouver,Washington,,Anti-LGBT,Yes,,2018,Y
,43,Tom Brown Ministries,El Paso,Texas,,Anti-LGBT,Yes,,2018,Y
,44,True Light Pentecost Church,Spartanburg,South Carolina,,Anti-LGBT,Yes,,2018,Y
,45,United Families International,Gilbert,Arizona,,Anti-LGBT,Yes,,2018,Y
,46,Verity Baptist Church,Sacramento,California,,Anti-LGBT,Yes,,2018,Y
,47,Warriors for Christ,Martinsburg,West Virginia,,Anti-LGBT,Yes,,2018,Y
,48,Westboro Baptist Church,Topeka,Kansas,Westboro Baptist Church,Anti-LGBT,Yes,,2018,Y
,49,World Congress of Families/International Organization for the Family,Rockford,Illinois,World Congress of Families,Anti-LGBT,Yes,,2018,Y
,50,ACT for America,Jonesboro,Arkansas,ACT for America ,Anti-Muslim,,,2018,Y
,51,ACT for America,Tucson,Arizona,ACT for America ,Anti-Muslim,,,2018,Y
,52,ACT for America,Corona,California,ACT for America ,Anti-Muslim,,,2018,Y
,53,ACT for America,Mission Viejo,California,ACT for America ,Anti-Muslim,,,2018,Y
,54,ACT for America,Los Angeles,California,ACT for America ,Anti-Muslim,,,2018,Y
,55,ACT for America,Upland,California,ACT for America ,Anti-Muslim,,,2018,Y
,56,ACT for America,,California,ACT for America ,Anti-Muslim,,Yes,2018,Y
,57,ACT for America,Riverside County,California,ACT for America ,Anti-Muslim,,,2018,Y
,58,ACT for America,Santa Clarita,California,ACT for America ,Anti-Muslim,,,2018,Y
,59,ACT for America,Laguna Woods,California,ACT for America ,Anti-Muslim,,,2018,Y
,60,ACT for America,Denver,Colorado,ACT for America ,Anti-Muslim,,,2018,Y
,61,ACT for America,,Connecticut,ACT for America ,Anti-Muslim,,Yes,2018,Y
,62,ACT for America,Cheshire,Connecticut,ACT for America ,Anti-Muslim,,,2018,Y
,63,ACT for America,Bear,Delaware,ACT for America ,Anti-Muslim,,,2018,Y
,64,ACT for America,Washington,District of Columbia,ACT for America ,Anti-Muslim,Yes,,2018,Y
,65,ACT for America,Heathrow,Florida,ACT for America ,Anti-Muslim,,,2018,Y
,66,ACT for America,Jacksonville,Florida,ACT for America ,Anti-Muslim,,,2018,Y
,67,ACT for America,Meridian,Idaho,ACT for America ,Anti-Muslim,,,2018,Y
,68,ACT for America,Des Plaines,Illinois,ACT for America ,Anti-Muslim,,,2018,Y
,69,ACT for America,Lafayette,Indiana,ACT for America ,Anti-Muslim,,,2018,Y
,70,ACT for America,Terre Haute,Indiana,ACT for America ,Anti-Muslim,,,2018,Y
,71,ACT for America,Baton Rouge,Louisiana,ACT for America ,Anti-Muslim,,,2018,Y
,72,ACT for America,Metairie,Louisiana,ACT for America ,Anti-Muslim,,,2018,Y
,73,ACT for America,Norway,Maine,ACT for America ,Anti-Muslim,,,2018,Y
,74,ACT for America,Cape Cod,Massachusetts,ACT for America ,Anti-Muslim,,,2018,Y
,75,ACT for America,Boston,Massachusetts,ACT for America ,Anti-Muslim,Yes,,2018,Y
,76,ACT for America,Kansas City,Missouri,ACT for America ,Anti-Muslim,,,2018,Y
,77,ACT for America,Minneapolis,Minnesota,ACT for America ,Anti-Muslim,,,2018,Y
,78,ACT for America,Whitehall,Montana,ACT for America ,Anti-Muslim,,,2018,Y
,79,ACT for America,Fayetteville,North Carolina,ACT for America ,Anti-Muslim,,,2018,Y
,80,ACT for America,Hopkinton,New Hampshire,ACT for America ,Anti-Muslim,,,2018,Y
,81,ACT for America,Hauppauge,New York,ACT for America ,Anti-Muslim,,,2018,Y
,82,ACT for America,Nashua,New Hampshire,ACT for America ,Anti-Muslim,,,2018,Y
,83,ACT for America,Columbus,Ohio,ACT for America ,Anti-Muslim,,,2018,Y
,84,ACT for America,Cincinnati,Ohio,ACT for America ,Anti-Muslim,,,2018,Y
,85,ACT for America,Cleveland,Ohio,ACT for America ,Anti-Muslim,,,2018,Y
,86,ACT for America,Pittsburgh,Pennsylvania,ACT for America ,Anti-Muslim,,,2018,Y
,87,ACT for America,Rapid City,South Dakota,ACT for America ,Anti-Muslim,,,2018,Y
,88,ACT for America,Coffee County,Tennessee,ACT for America ,Anti-Muslim,,,2018,Y
,89,ACT for America,Austin,Texas,ACT for America ,Anti-Muslim,,,2018,Y
,90,ACT for America,Knoxville,Tennessee,ACT for America ,Anti-Muslim,,,2018,Y
,91,ACT for America,Houston,Texas,ACT for America ,Anti-Muslim,,,2018,Y
,92,ACT for America,Leesburg,Virginia,ACT for America ,Anti-Muslim,Yes,,2018,Y
,93,ACT for America,Virginia Beach,Virginia,ACT for America ,Anti-Muslim,,,2018,Y
,94,ACT for America,Spokane Valley,Washington,ACT for America ,Anti-Muslim,,,2018,Y
,95,ACT for America,South Charleston,West Virginia,ACT for America ,Anti-Muslim,,,2018,Y
,96,ACT for America,Oostburg,Wisconsin,ACT for America ,Anti-Muslim,,,2018,Y
,97,American Freedom Alliance,Los Angeles,California,,Anti-Muslim,Yes,,2018,Y
,98,American Freedom Defense Initiative,New York,New York,,Anti-Muslim,Yes,,2018,Y
,99,American Freedom Law Center,Ann Arbor,Michigan,,Anti-Muslim,Yes,,2018,Y
,100,American Public Policy Alliance,Washington,District of Columbia,,Anti-Muslim,,,2018,Y
,101,Bomb Islam,Phoenix,Arizona,,Anti-Muslim,,,2018,Y
,102,Bureau on American Islamic Relations,Irving,Texas,,Anti-Muslim,Yes,,2018,Y
,103,Center for Security Policy,Washington,District of Columbia,Center for Security Policy,Anti-Muslim,Yes,,2018,Y
,104,Christian Action Network,Forest,Virginia,,Anti-Muslim,Yes,,2018,Y
,105,Citizens for National Security,Boca Raton,Florida,,Anti-Muslim,Yes,,2018,Y
,106,Citizens for the St. Croix Valley,Hudson,Wisconsin,,Anti-Muslim,,,2018,Y
,107,Citizens' Action Group of South Florida,Hollywood,Florida,,Anti-Muslim,Yes,,2018,Y
,108,Clarion Project,Washington,District of Columbia,,Anti-Muslim,Yes,,2018,Y
,109,Counter Jihad Coalition,Santa Monica,California,,Anti-Muslim,Yes,,2018,Y
,110,Cultures In Context Incorporated/Turning Point Project,Immokalee,Florida,,Anti-Muslim,,,2018,Y
,111,David Horowitz Freedom Center,Los Angeles,California,,Anti-Muslim,,,2018,Y
,112,Faith Leaders for America,Washington,District of Columbia,,Anti-Muslim,,,2018,Y
,113,Family Security Matters,Washington,District of Columbia,Family Security Matters,Anti-Muslim,Yes,,2018,Y
,114,Florida Family Association,Tampa,Florida,,Anti-Muslim,Yes,,2018,Y
,115,Fortress of Faith,Bellingham,Washington,,Anti-Muslim,,,2018,Y
,116,Foundation for Advocating Christian Truth,Bronx,New York,,Anti-Muslim,,,2018,Y
,117,G416 Patriots,Meridian,Idaho,,Anti-Muslim,,,2018,Y
,118,G416 Patriots,Boerne,Texas,,Anti-Muslim,,,2018,Y
,119,Glasov Gang Productions,Los Angeles,California,,Anti-Muslim,,,2018,Y
,120,Global Faith Institute,Omaha,Nebraska,,Anti-Muslim,,,2018,Y
,121,Jihad Watch,Sherman Oaks,California,,Anti-Muslim,Yes,,2018,Y
,122,Keep South Dakota Safe PAC,Aberdeen,South Dakota,,Anti-Muslim,,,2018,Y
,123,Last Chance Patriots,Dayton,Montana,,Anti-Muslim,,,2018,Y
,124,North Carolina Pastors Network,Morganton,North Carolina,,Anti-Muslim,,,2018,Y
,125,Political Islam,Nashville,Tennessee,,Anti-Muslim,Yes,,2018,Y
,126,Proclaiming Justice to the Nations,Franklin,Tennessee,,Anti-Muslim,,,2018,Y
,127,Radio Jihad/Global Patriot Radio,,New York,,Anti-Muslim,Yes,Yes,2018,Y
,128,Refugee Resettlement Watch,Fairplay,Maryland,,Anti-Muslim,Yes,,2018,Y
,129,Sharia Crime Stoppers,Mount Clemens,Michigan,,Anti-Muslim,,,2018,Y
,130,"Shoebat Foundation, The",Newtown,Pennsylvania,,Anti-Muslim,Yes,,2018,Y
,131,Soldiers of Odin,,California,,Anti-Muslim,,Yes,2018,Y
,132,Soldiers of Odin,,Florida,,Anti-Muslim,,Yes,2018,Y
,133,Soldiers of Odin,,Indiana,,Anti-Muslim,,Yes,2018,Y
,134,Soldiers of Odin,,Missouri,,Anti-Muslim,Yes,Yes,2018,Y
,135,Soldiers of Odin,,North Carolina,,Anti-Muslim,,Yes,2018,Y
,136,Soldiers of Odin,,North Dakota,,Anti-Muslim,,Yes,2018,Y
,137,Soldiers of Odin,,South Carolina,,Anti-Muslim,,Yes,2018,Y
,138,Soldiers of Odin,,Texas,,Anti-Muslim,,Yes,2018,Y
,139,Soldiers of Odin,Denver,Colorado,,Anti-Muslim,,,2018,Y
,140,Soldiers of Odin,,Illinois,,Anti-Muslim,,Yes,2018,Y
,141,Southeast Michigan Tea Party,Utica,Michigan,,Anti-Muslim,,,2018,Y
,142,"Straight Way and More, The",Venice,Florida,,Anti-Muslim,,,2018,Y
,143,Sunshine on Government (SONG) Alliance,Newton,Georgia,,Anti-Muslim,Yes,,2018,Y
,144,Truth in Love Project,Chattaroy,Washington,,Anti-Muslim,Yes,,2018,Y
,145,Truth in Textbooks,Boerne,Texas,,Anti-Muslim,,,2018,Y
,146,Unconstrained Analytics,Washington,District of Columbia,,Anti-Muslim,,,2018,Y
,147,Understanding the Threat,Dallas,Texas,,Anti-Muslim,Yes,,2018,Y
,148,"United West, The",Lake Worth,Florida,,Anti-Muslim,Yes,,2018,Y
,149,Virginia Christian Alliance,Henrico,Virginia,,Anti-Muslim,,,2018,Y
,150,All Eyes On Egypt Bookstore,Macon,Georgia,,Black Nationalist,Yes,,2018,Y
,151,Ambassadors of Christ,Brooklyn,New York,,Black Nationalist,Yes,,2018,Y
,152,Ancient Egyptian Distribution Company,Jersey City,New Jersey,,Black Nationalist,Yes,,2018,Y
,153,Army of Israel,Orlando,Florida,,Black Nationalist,,,2018,Y
,154,Army of Israel,,Missouri,,Black Nationalist,,Yes,2018,Y
,155,Army of Israel,Cleveland,Ohio,,Black Nationalist,Yes,,2018,Y
,156,Black Riders Liberation Party,Oakland,California,,Black Nationalist,Yes,,2018,Y
,157,Black Riders Liberation Party,Los Angeles,California,,Black Nationalist,Yes,,2018,Y
,158,Black Riders Liberation Party,Las Vegas,Nevada,,Black Nationalist,,,2018,Y
,159,Black Riders Liberation Party,New York,New York,,Black Nationalist,,,2018,Y
,160,Black Riders Liberation Party,Portland,Oregon,,Black Nationalist,,,2018,Y
,161,Black Riders Liberation Party,Houston,Texas,,Black Nationalist,,,2018,Y
,162,Great Millstone,Birmingham,Alabama,,Black Nationalist,,,2018,Y
,163,Great Millstone,Los Angeles,California,,Black Nationalist,,,2018,Y
,164,Great Millstone,Miami,Florida,,Black Nationalist,,,2018,Y
,165,Great Millstone,Tampa,Florida,,Black Nationalist,,,2018,Y
,166,Great Millstone,Atlanta,Georgia,,Black Nationalist,,,2018,Y
,167,Great Millstone,Honolulu,Hawaii,,Black Nationalist,,,2018,Y
,168,Great Millstone,Chicago,Illinois,,Black Nationalist,,,2018,Y
,169,Great Millstone,Indianapolis,Indiana,,Black Nationalist,,,2018,Y
,170,Great Millstone,Des Moines,Iowa,,Black Nationalist,,,2018,Y
,171,Great Millstone,,Louisiana,,Black Nationalist,,Yes,2018,Y
,172,Great Millstone,Baltimore,Maryland,,Black Nationalist,,,2018,Y
,173,Great Millstone,Detroit,Michigan,,Black Nationalist,,,2018,Y
,174,Great Millstone,,Mississippi,,Black Nationalist,,Yes,2018,Y
,175,Great Millstone,St. Louis,Missouri,,Black Nationalist,,,2018,Y
,176,Great Millstone,,Nebraska,,Black Nationalist,,Yes,2018,Y
,177,Great Millstone,New York,New York,,Black Nationalist,Yes,,2018,Y
,178,Great Millstone,Charlotte,North Carolina,,Black Nationalist,,,2018,Y
,179,Great Millstone,Cleveland,Ohio,,Black Nationalist,,,2018,Y
,180,Great Millstone,Memphis,Tennessee,,Black Nationalist,,,2018,Y
,181,Great Millstone,Dallas,Texas,,Black Nationalist,,,2018,Y
,182,Great Millstone,San Antonio,Texas,,Black Nationalist,,,2018,Y
,183,Great Millstone,Houston,Texas,,Black Nationalist,,,2018,Y
,184,Great Millstone,,Wisconsin,,Black Nationalist,,Yes,2018,Y
,185,House of David,Brooklyn,New York,,Black Nationalist,Yes,,2018,Y
,186,House of Israel,Washington,District of Columbia,,Black Nationalist,,,2018,Y
,187,House of Israel,Atlanta,Georgia,,Black Nationalist,,,2018,Y
,188,House of Israel,New York,New York,,Black Nationalist,Yes,,2018,Y
,189,International Society of Indigenous Sovereigns,New York,New York,,Black Nationalist,Yes,,2018,Y
,190,Israel United In Christ,Center Point,Alabama,,Black Nationalist,,,2018,Y
,191,Israel United In Christ,Mobile,Alabama,,Black Nationalist,,,2018,Y
,192,Israel United In Christ,,Arkansas,,Black Nationalist,,Yes,2018,Y
,193,Israel United In Christ,Phoenix,Arizona,,Black Nationalist,,,2018,Y
,194,Israel United In Christ,Los Angeles,California,,Black Nationalist,,,2018,Y
,195,Israel United In Christ,Denver,Colorado,,Black Nationalist,,,2018,Y
,196,Israel United In Christ,Washington,District of Columbia,,Black Nationalist,,,2018,Y
,197,Israel United In Christ,Orlando,Florida,,Black Nationalist,,,2018,Y
,198,Israel United In Christ,Tallahassee,Florida,,Black Nationalist,,,2018,Y
,199,Israel United In Christ,Miami,Florida,,Black Nationalist,,,2018,Y
,200,Israel United In Christ,Jacksonville,Florida,,Black Nationalist,,,2018,Y
,201,Israel United In Christ,Savannah,Georgia,,Black Nationalist,,,2018,Y
,202,Israel United In Christ,Atlanta,Georgia,,Black Nationalist,,,2018,Y
,203,Israel United In Christ,Honolulu,Hawaii,,Black Nationalist,,,2018,Y
,204,Israel United In Christ,Chicago,Illinois,,Black Nationalist,,,2018,Y
,205,Israel United In Christ,Kansas City,Kansas,,Black Nationalist,,,2018,Y
,206,Israel United In Christ,Louisville,Kentucky,,Black Nationalist,,,2018,Y
,207,Israel United In Christ,Lafayette,Louisiana,,Black Nationalist,,,2018,Y
,208,Israel United In Christ,New Orleans,Louisiana,,Black Nationalist,,,2018,Y
,209,Israel United In Christ,Boston,Massachusetts,,Black Nationalist,,,2018,Y
,210,Israel United In Christ,Detroit,Michigan,,Black Nationalist,,,2018,Y
,211,Israel United In Christ,Jackson,Mississippi,,Black Nationalist,,,2018,Y
,212,Israel United In Christ,St. Louis,Missouri,,Black Nationalist,,,2018,Y
,213,Israel United In Christ,Mount Vernon,New York,,Black Nationalist,Yes,,2018,Y
,214,Israel United In Christ,Rochester,New York,,Black Nationalist,,,2018,Y
,215,Israel United In Christ,Newark,New Jersey,,Black Nationalist,,,2018,Y
,216,Israel United In Christ,Concord,North Carolina,,Black Nationalist,,,2018,Y
,217,Israel United In Christ,Northern California,California,,Black Nationalist,,,2018,Y
,218,Israel United In Christ,Las Vegas,Nevada,,Black Nationalist,,,2018,Y
,219,Israel United In Christ,Heath,Ohio,,Black Nationalist,,,2018,Y
,220,Israel United In Christ,Oklahoma City,Oklahoma,,Black Nationalist,,,2018,Y
,221,Israel United In Christ,Tulsa,Oklahoma,,Black Nationalist,,,2018,Y
,222,Israel United In Christ,Pittsburgh,Pennsylvania,,Black Nationalist,,,2018,Y
,223,Israel United In Christ,Philadelphia,Pennsylvania,,Black Nationalist,,,2018,Y
,224,Israel United In Christ,Columbia,South Carolina,,Black Nationalist,,,2018,Y
,225,Israel United In Christ,Memphis,Tennessee,,Black Nationalist,,,2018,Y
,226,Israel United In Christ,Nashville,Tennessee,,Black Nationalist,,,2018,Y
,227,Israel United In Christ,Corpus Christi,Texas,,Black Nationalist,,,2018,Y
,228,Israel United In Christ,Houston,Texas,,Black Nationalist,,,2018,Y
,229,Israel United In Christ,San Antonio,Texas,,Black Nationalist,,,2018,Y
,230,Israel United In Christ,Austin,Texas,,Black Nationalist,,,2018,Y
,231,Israel United In Christ,Dallas,Texas,,Black Nationalist,,,2018,Y
,232,Israel United In Christ,Hampton,Virginia,,Black Nationalist,,,2018,Y
,233,Israel United In Christ,Seattle,Washington,,Black Nationalist,,,2018,Y
,234,"Israelite Church of God in Jesus Christ, The",West Palm Beach,Florida,,Black Nationalist,,,2018,Y
,235,"Israelite Church of God in Jesus Christ, The",Baltimore,Maryland,,Black Nationalist,,,2018,Y
,236,"Israelite Church of God in Jesus Christ, The",Greensboro,North Carolina,,Black Nationalist,,,2018,Y
,237,"Israelite Church of God in Jesus Christ, The",New York,New York,,Black Nationalist,Yes,,2018,Y
,238,"Israelite Church of God in Jesus Christ, The",Philadelphia,Pennsylvania,,Black Nationalist,,,2018,Y
,239,"Israelite Church of God in Jesus Christ, The",Pittsburgh,Pennsylvania,,Black Nationalist,,,2018,Y
,240,Israelite School of Universal Practical Knowledge,Los Angeles,California,,Black Nationalist,,,2018,Y
,241,Israelite School of Universal Practical Knowledge,Oakland,California,,Black Nationalist,,,2018,Y
,242,Israelite School of Universal Practical Knowledge,Washington,District of Columbia,,Black Nationalist,,,2018,Y
,243,Israelite School of Universal Practical Knowledge,Jacksonville,Florida,,Black Nationalist,,,2018,Y
,244,Israelite School of Universal Practical Knowledge,Tampa,Florida,,Black Nationalist,,,2018,Y
,245,Israelite School of Universal Practical Knowledge,Atlanta,Georgia,,Black Nationalist,,,2018,Y
,246,Israelite School of Universal Practical Knowledge,Chicago,Illinois,,Black Nationalist,,,2018,Y
,247,Israelite School of Universal Practical Knowledge,Indianapolis,Indiana,,Black Nationalist,,,2018,Y
,248,Israelite School of Universal Practical Knowledge,Louisville,Kentucky,,Black Nationalist,,,2018,Y
,249,Israelite School of Universal Practical Knowledge,,Louisiana,,Black Nationalist,,Yes,2018,Y
,250,Israelite School of Universal Practical Knowledge,Baltimore,Maryland,,Black Nationalist,Yes,,2018,Y
,251,Israelite School of Universal Practical Knowledge,Lynn,Massachusetts,,Black Nationalist,,,2018,Y
,252,Israelite School of Universal Practical Knowledge,Detroit,Michigan,,Black Nationalist,,,2018,Y
,253,Israelite School of Universal Practical Knowledge,Minneapolis,Minnesota,,Black Nationalist,,,2018,Y
,254,Israelite School of Universal Practical Knowledge,,Mississippi,,Black Nationalist,,Yes,2018,Y
,255,Israelite School of Universal Practical Knowledge,Kansas City,Missouri,,Black Nationalist,,,2018,Y
,256,Israelite School of Universal Practical Knowledge,St. Louis,Missouri,,Black Nationalist,,,2018,Y
,257,Israelite School of Universal Practical Knowledge,New York,New York,,Black Nationalist,,,2018,Y
,258,Israelite School of Universal Practical Knowledge,Syracuse,New York,,Black Nationalist,,,2018,Y
,259,Israelite School of Universal Practical Knowledge,Greensboro,North Carolina,,Black Nationalist,,,2018,Y
,260,Israelite School of Universal Practical Knowledge,Winston-Salem,North Carolina,,Black Nationalist,,,2018,Y
,261,Israelite School of Universal Practical Knowledge,Durham,North Carolina,,Black Nationalist,,,2018,Y
,262,Israelite School of Universal Practical Knowledge,Greenville,North Carolina,,Black Nationalist,,,2018,Y
,263,Israelite School of Universal Practical Knowledge,Fayetteville,North Carolina,,Black Nationalist,,,2018,Y
,264,Israelite School of Universal Practical Knowledge,Wilmington,North Carolina,,Black Nationalist,,,2018,Y
,265,Israelite School of Universal Practical Knowledge,Charlotte,North Carolina,,Black Nationalist,,,2018,Y
,266,Israelite School of Universal Practical Knowledge,Cincinnati,Ohio,,Black Nationalist,,,2018,Y
,267,Israelite School of Universal Practical Knowledge,Oklahoma City,Oklahoma,,Black Nationalist,,,2018,Y
,268,Israelite School of Universal Practical Knowledge,Portland,Oregon,,Black Nationalist,,,2018,Y
,269,Israelite School of Universal Practical Knowledge,Upper Darby,Pennsylvania,,Black Nationalist,Yes,,2018,Y
,270,Israelite School of Universal Practical Knowledge,Greenville,South Carolina,,Black Nationalist,,,2018,Y
,271,Israelite School of Universal Practical Knowledge,Charleston,South Carolina,,Black Nationalist,,,2018,Y
,272,Israelite School of Universal Practical Knowledge,Nashville,Tennessee,,Black Nationalist,,,2018,Y
,273,Israelite School of Universal Practical Knowledge,Fort Worth,Texas,,Black Nationalist,,,2018,Y
,274,Israelite School of Universal Practical Knowledge,Houston,Texas,,Black Nationalist,,,2018,Y
,275,Israelite School of Universal Practical Knowledge,Richmond,Virginia,,Black Nationalist,,,2018,Y
,276,Israelite the Branches,Baltimore,Maryland,,Black Nationalist,Yes,,2018,Y
,277,Israelites Saints of Christ,Huntsville,Alabama,,Black Nationalist,,,2018,Y
,278,Israelites Saints of Christ,,California,,Black Nationalist,,Yes,2018,Y
,279,Israelites Saints of Christ,Washington,District of Columbia,,Black Nationalist,,,2018,Y
,280,Israelites Saints of Christ,Savannah,Georgia,,Black Nationalist,,,2018,Y
,281,Israelites Saints of Christ,,New Jersey,,Black Nationalist,,Yes,2018,Y
,282,Israelites Saints of Christ,,North Carolina,,Black Nationalist,,Yes,2018,Y
,283,Israelites Saints of Christ,Richmond,Virginia,,Black Nationalist,Yes,,2018,Y
,284,Lion of Judah - Jeshurun Lions,Chicago,Illinois,,Black Nationalist,Yes,,2018,Y
,285,Lions of Israel,Mount Vernon,New York,,Black Nationalist,Yes,,2018,Y
,286,Luxor Couture,Atlanta,Georgia,,Black Nationalist,Yes,,2018,Y
,287,Masharah Yasharahla - Government of Israel,Raleigh,North Carolina,,Black Nationalist,Yes,,2018,Y
,288,Mountains of Israel,Houston,Texas,,Black Nationalist,Yes,,2018,Y
,289,Nation of Islam,Birmingham,Alabama,Nation of Islam,Black Nationalist,,,2018,Y
,290,Nation of Islam,Montgomery,Alabama,Nation of Islam,Black Nationalist,,,2018,Y
,291,Nation of Islam,Mobile,Alabama,Nation of Islam,Black Nationalist,,,2018,Y
,292,Nation of Islam,Tucson,Arizona,Nation of Islam,Black Nationalist,,,2018,Y
,293,Nation of Islam,North Little Rock,Arkansas,Nation of Islam,Black Nationalist,,,2018,Y
,294,Nation of Islam,Phoenix,Arizona,Nation of Islam,Black Nationalist,,,2018,Y
,295,Nation of Islam,Rialto,California,Nation of Islam,Black Nationalist,,,2018,Y
,296,Nation of Islam,San Diego,California,Nation of Islam,Black Nationalist,,,2018,Y
,297,Nation of Islam,Oakland,California,Nation of Islam,Black Nationalist,,,2018,Y
,298,Nation of Islam,Los Angeles,California,Nation of Islam,Black Nationalist,,,2018,Y
,299,Nation of Islam,Compton,California,Nation of Islam,Black Nationalist,,,2018,Y
,300,Nation of Islam,Denver,Colorado,Nation of Islam,Black Nationalist,,,2018,Y
,301,Nation of Islam,Washington,District of Columbia,Nation of Islam,Black Nationalist,,,2018,Y
,302,Nation of Islam,Wilmington,Delaware,Nation of Islam,Black Nationalist,,,2018,Y
,303,Nation of Islam,Tampa,Florida,Nation of Islam,Black Nationalist,,,2018,Y
,304,Nation of Islam,Saint Petersburg,Florida,Nation of Islam,Black Nationalist,,,2018,Y
,305,Nation of Islam,Pensacola,Florida,Nation of Islam,Black Nationalist,,,2018,Y
,306,Nation of Islam,Miami,Florida,Nation of Islam,Black Nationalist,,,2018,Y
,307,Nation of Islam,Jacksonville,Florida,Nation of Islam,Black Nationalist,,,2018,Y
,308,Nation of Islam,Fort Lauderdale,Florida,Nation of Islam,Black Nationalist,,,2018,Y
,309,Nation of Islam,Orlando,Florida,Nation of Islam,Black Nationalist,,,2018,Y
,310,Nation of Islam,Augusta,Georgia,Nation of Islam,Black Nationalist,,,2018,Y
,311,Nation of Islam,Brunswick,Georgia,Nation of Islam,Black Nationalist,,,2018,Y
,312,Nation of Islam,Atlanta,Georgia,Nation of Islam,Black Nationalist,,,2018,Y
,313,Nation of Islam,Rockford,Illinois,Nation of Islam,Black Nationalist,,,2018,Y
,314,Nation of Islam,Chicago,Illinois,Nation of Islam,Black Nationalist,Yes,,2018,Y
,315,Nation of Islam,Indianapolis,Indiana,Nation of Islam,Black Nationalist,,,2018,Y
,316,Nation of Islam,Louisville,Kentucky,Nation of Islam,Black Nationalist,,,2018,Y
,317,Nation of Islam,Lexington,Kentucky,Nation of Islam,Black Nationalist,,,2018,Y
